Iterations,Wide,Narrow
500,0.217714,0.0206637
600,0.262318,0.0361037
700,0.205951,0.0206637
800,0.125075,0.0157008
900,0.0964828,0.0103703
1000,0.114782,0.000812252
1100,0.129754,0.0146481
1200,0.0907644,0.018458
1300,0.0973626,0.0145555
1400,0.073609,0.0131012
1500,0.0530225,0.00919396
1600,0.0285761,0.010738
1700,0.0372799,0.0128788
1800,0.073609,0.0140465
1900,0.084444,0.0157879
2000,0.0890488,0.0127231
2100,0.0638059,0.00679919
2200,0.0455365,0.00682783
2300,0.0422818,0.00627858
2400,0.0221428,0.00632653
2500,0.0447879,0.00425316
2600,0.0300607,0.0033573
2700,0.0164244,0.00154749
2800,0.0184667,0.00202366
2900,0.0274669,0.00261041
3000,0.029005,0.000371109
3100,0.0337642,0.00153576
3200,0.0285761,0.0012556
3300,0.0424174,0.00420073
3400,0.0372799,0.00269094
3500,0.0177314,0.00391427
3600,0.0221428,0.00323155
3700,0.0207518,0.00616257
3800,0.0302691,0.00615316
3900,0.0208232,0.00546555
4000,0.0169962,0.00514317
4100,0.0233981,0.00580489
4200,0.0147905,0.00580489
4300,0.00179573,0.00642043
4400,0.0129478,0.00760956
4500,0.0178864,0.00845174
4600,0.0226104,0.0086819
4700,0.0271333,0.00777595
4800,0.0293234,0.0099406
4900,0.037726,0.0125571
5000,0.0519685,0.0137455
5100,0.055561,0.0117733
5200,0.0451591,0.0111495
5300,0.0390339,0.0110487
5400,0.036948,0.0102163
5500,0.0330663,0.0103767
5600,0.045866,0.011713
5700,0.0473817,0.0132347
5800,0.0523944,0.0137911
5900,0.0467695,0.0143287
6000,0.0533409,0.0126426
6100,0.0580094,0.0123135
6200,0.0575467,0.0143431
6300,0.0554649,0.0137875
6400,0.0550564,0.0136627
6500,0.053077,0.012931
6600,0.0527171,0.012422
6700,0.0492953,0.0111381
6800,0.0368919,0.0104758
6900,0.0337987,0.0104081
7000,0.0293234,0.0103424
7100,0.0249741,0.0102784
7200,0.0207457,0.0113192
7300,0.0250933,0.00997459
7400,0.0209775,0.00991824
7500,0.0238336,0.0098634
7600,0.0266146,0.00841691
7700,0.0226394,0.00683613
7800,0.0240448,0.0063139
7900,0.0188998,0.00731259
8000,0.0190301,0.00679746
8100,0.0242403,0.00760213
8200,0.023047,0.00774161
8300,0.0243628,0.00819662
8400,0.028098,0.00753795
8500,0.0269014,0.00673907
8600,0.0305202,0.00580489
8700,0.0305065,0.00550065
8800,0.026984,0.0056545
8900,0.0351061,0.00610228
9000,0.0338981,0.00639308
9100,0.0383723,0.00711377
9200,0.0360363,0.00638029
9300,0.0348573,0.00651641
9400,0.0358935,0.00636805
9500,0.0358243,0.00650143
9600,0.0368288,0.00718346
9700,0.0346291,0.00716924
9800,0.031424,0.00621002
9900,0.0272439,0.00580489
10000,0.028294,0.00593723
10100,0.0333999,0.00685314
10200,0.0353782,0.0077511
10300,0.031322,0.00773221
10400,0.0293234,0.00809543
10500,0.0293234,0.00857778
10600,0.0293234,0.00830192
10700,0.0264374,0.00790753
10800,0.024558,0.00727536
10900,0.022713,0.00774753
11000,0.0227731,0.00785018
11100,0.0265414,0.00771253
11200,0.0265662,0.00734101
11300,0.0202143,0.00732741
11400,0.0202942,0.0068497
11500,0.0203727,0.00672553
11600,0.0239993,0.00660351
11700,0.0205257,0.00693602
11800,0.0179833,0.00614135
11900,0.0154837,0.00658337
12000,0.0147413,0.00657688
12100,0.0097577,0.00624238
12200,0.00654324,0.00602184
12300,0.00254421,0.00569729
12400,0.00139033,0.00559143
12500,0.003615,0.00644013
12600,0.0041705,0.00738039
12700,0.000664809,0.00736799
12800,0.00203884,0.00745917
12900,0.00578535,0.00806189
13000,0.00551528,0.00865534
13100,0.00524934,0.00863359
13200,0.00654701,0.00911345
13300,0.00705123,0.00898907
13400,0.00908424,0.00886655
13500,0.00879974,0.00903993
13600,0.00776256,0.00891883
13700,0.0104972,0.0081233
13800,0.0102086,0.00724339
13900,0.0121458,0.00723304
14000,0.0147905,0.00693925
14100,0.0122876,0.00646191
14200,0.0134443,0.00589808
14300,0.00378775,0.00682291
14400,0.00641704,0.00672393
14500,0.00617056,0.00644378
14600,0.00451742,0.00671134
14700,0.00498743,0.00715532
14800,0.00545109,0.00741446
14900,0.0052177,0.0075813
15000,0.00567364,0.00712831
15100,0.0047602,0.00729484
15200,0.0031816,0.0073721
15300,0.00296915,0.00770785
15400,0.00409624,0.00812518
15500,0.00255247,0.00853712
15600,0.00366778,0.00877411
15700,0.00214641,0.00858661
15800,0.00325017,0.00831772
15900,0.00498743,0.00771928
16000,0.00219968,0.00770731
16100,0.00392187,0.0076133
16200,0.00371666,0.00784721
16300,0.000906449,0.00832183
16400,0.000175549,0.007903
16500,3.23E-06,0.0080507
16600,0.000440215,0.00771827
16700,0.00211107,0.00802381
16800,0.000698579,0.00777427
16900,0.00173907,0.00744938
17000,0.00155635,0.00743971
17100,0.000171879,0.00743015
17200,0.00239417,0.00749764
17300,0.0034008,0.00741136
17400,0.00143804,0.00709789
17500,0.00126226,0.00731737
17600,0.00342785,0.00685761
17700,0.0014982,0.00722551
17800,0.00132504,0.00684578
17900,0.000578779,0.0066921
18000,0.00270004,0.00698127
18100,0.00479786,0.00719412
18200,0.00687263,0.00696834
18300,0.00667484,0.00681734
18400,0.00871686,0.00688377
18500,0.00906763,0.00687793
18600,0.00830782,0.00701447
18700,0.00920747,0.00686646
18800,0.0117401,0.00636805
18900,0.00934435,0.006155
19000,0.0107661,0.00629246
19100,0.0127118,0.00628991
19200,0.013029,0.00676988
19300,0.0144096,0.0069706
19400,0.013123,0.00703281
19500,0.0107939,0.00695864
19600,0.00953886,0.00661515
19700,0.0114316,0.00661103
19800,0.0122655,0.00654012
19900,0.0146427,0.00627041
20000,0.0159669,0.00686363
20100,0.0167658,0.00685836
20200,0.0150089,0.00711521
20300,0.0132693,0.00684798
20400,0.0130606,0.00677799
20500,0.0123517,0.00651502
20600,0.0126491,0.00638308
20700,0.0129435,0.00689176
20800,0.0122455,0.00669565
20900,0.0115541,0.00656475
21000,0.00939881,0.00681321
21100,0.00677614,0.00655755
21200,0.00612033,0.00611701
21300,0.00788693,0.00599128
21400,0.00578908,0.00617594
21500,0.00466826,0.00635888
21600,0.00260473,0.00666266
21700,0.00388063,0.00659772
21800,0.000895316,0.00647267
21900,0.00216736,0.00592575
22000,0.00202422,0.00586504
22100,0.000950865,0.00550547
22200,0.000350835,0.00556643
22300,0.00116697,0.00574554
22400,0.000373632,0.00604121
22500,0.00132761,0.0061578
22600,0.000629825,0.005922
22700,0.000756228,0.00580489
22800,0.000881522,0.00580489
22900,0.00235418,0.00563151
23000,0.00291897,0.00545964
23100,0.00258768,0.00546114
23200,0.00225925,0.00529149
23300,0.000608323,0.00518009
23400,0.0016108,0.0051262
23500,0.000414696,0.00473488
23600,0.00053719,0.0050198
23700,0.00196159,0.00519064
23800,0.00121158,0.00491519
23900,0.000467843,0.00497428
24000,0.00015919,0.00481231
24100,0.00228243,0.00476152
24200,0.00172648,0.00492989
24300,0.00117512,0.00471564
24400,0.000206417,0.00461163
24500,8.59E-05,0.00445445
24600,3.37E-05,0.00467513
24700,0.000985705,0.00489402
24800,0.00056023,0.00463088
24900,0.000853598,0.00474189
25000,0.00196808,0.00490495
25100,0.00184341,0.00506672
25200,0.0021282,0.00449196
25300,0.00119019,0.00449715
25400,0.000259564,0.00476282
25500,0.000143552,0.0048707
25600,2.84E-05,0.00502944
25700,0.00128731,0.00513545
25800,0.000199086,0.00518934
25900,8.59E-05,0.00534501
26000,0.000423119,0.00555038
26100,0.0013226,0.00544994
26200,0.0037867,0.00580489
26300,0.00349242,0.00590553
26400,0.00359027,0.00610566
26500,0.00329895,0.00630429
26600,0.00339679,0.0060039
26700,0.00233735,0.00590402
26800,0.00166989,0.00619994
26900,0.00253799,0.00590328
27000,0.000731036,0.00555981
27100,0.00121637,0.00565838
27200,0.000562846,0.0054643
27300,0.00104524,0.00541707
27400,0.0026511,0.00556338
27500,0.00237379,0.00508302
27600,0.00321732,0.00518153
27700,0.00516955,0.00523156
27800,0.0056267,0.00556686
27900,0.00497377,0.00542541
28000,0.00395788,0.00552129
28100,0.00331554,0.00566359
28200,0.00158272,0.00542945
28300,0.00168075,0.00543077
28400,0.00177808,0.00515249
28500,0.0022359,0.00506191
28600,0.0019707,0.00483314
28700,0.00314196,0.00492875
28800,0.00394767,0.00474798
28900,0.00154231,0.0050264
29000,0.00305786,0.00512035
29100,0.00420928,0.00494079
29200,0.00464779,0.00471714
29300,0.0043807,0.00499186
29400,0.00376532,0.00499462
29500,0.00454981,0.00490765
29600,0.00428576,0.00482126
29700,0.00506321,0.00469089
29800,0.00410838,0.00482786
29900,0.00247144,0.00496391
30000,0.00153162,0.00514317
30100,0.000598049,0.0048376
30200,0.00035233,0.00466551
30300,0.00112737,0.00475663
30400,0.000542929,0.00462947
30500,0.000299808,0.00472011
30600,0.00162362,0.0046804
30700,0.00118754,0.00494272
30800,0.00342785,0.00507442
30900,0.00265563,0.00516244
31000,0.00388063,0.00529259
31100,0.00542872,0.00499636
31200,0.00498743,0.00508379
31300,0.00454895,0.00500153
31400,0.00247422,0.00500409
31500,0.00106619,0.0049226
31600,0.00292444,0.00475787
31700,0.00282271,0.00484467
31800,0.00369268,0.00501416
31900,0.00197582,0.00476772
32000,0.00155635,0.0047296
32100,0.000498166,0.00465049
32200,0.000725218,0.00436638
32300,0.000632189,0.00420694
32400,0.000539733,0.00408933
32500,0.00108128,0.00417605
32600,0.000356524,0.00401866
32700,0.000678573,0.00410507
32800,0.00170736,0.00411025
32900,0.00210416,0.0039545
33000,0.00093898,0.00379969
33100,0.000402786,0.00364582
33200,0.000750252,0.00349287
33300,0.000885589,0.00349982
33400,0.00127891,0.00334822
33500,0.00228441,0.00343457
33600,0.00267123,0.0035204
33700,0.00305575,0.00340936
33800,0.0016108,0.00322068
33900,0.00169255,0.00315022
34000,0.000562846,0.00300233
34100,0.000647188,0.00316579
34200,0.000472851,0.00298003
34300,0.000686075,0.00294968
34400,0.0014965,0.00307339
34500,0.00140717,0.00319639
34600,0.00191334,0.00316568
34700,0.00271323,0.00313515
34800,0.00291695,0.00321888
34900,0.00370937,0.00315045
35000,0.00420318,0.00300678
35100,0.00616044,0.00297705
35200,0.00576722,0.00290989
35300,0.00450144,0.00336798
35400,0.00469666,0.00341225
35500,0.00605058,0.00341899
35600,0.00624035,0.00331417
35700,0.00671738,0.0035065
35800,0.00575415,0.00343898
35900,0.00737676,0.00340871
36000,0.00727481,0.00352565
36100,0.00831396,0.00360528
36200,0.00792564,0.00350168
36300,0.00725591,0.00354449
36400,0.00687263,0.00358705
36500,0.00649146,0.0037019
36600,0.00470619,0.00367149
36700,0.004333,0.00346094
36800,0.00508066,0.00371905
36900,0.00582427,0.00358124
37000,0.00572928,0.00369456
37100,0.0056348,0.0036289
37200,0.00637093,0.00345687
37300,0.0051714,0.00356961
37400,0.00315263,0.00357558
37500,0.00388948,0.00358153
37600,0.00544369,0.00337626
37700,0.00535147,0.0033827
37800,0.00471512,0.00338911
37900,0.00435372,0.00346532
38000,0.00399422,0.00336699
38100,0.00390677,0.00354707
38200,0.00381978,0.00362227
38300,0.004002,0.00352431
38400,0.00364716,0.00332346
38500,0.00463095,0.00336428
38600,0.00347633,0.00309632
38700,0.00365755,0.0033085
38800,0.00410313,0.00311028
38900,0.00348798,0.00332133
39000,0.00287599,0.00325983
39100,0.00358341,0.00313095
39200,0.00376204,0.00310401
39300,0.00341594,0.00311089
39400,0.00411659,0.00328567
39500,0.00351076,0.00322504
39600,0.00446757,0.00303103
39700,0.00334535,0.00323804
39800,0.00274602,0.00327774
39900,0.00266564,0.00318457
40000,0.00335766,0.00302569
40100,0.00199272,0.00299962
40200,0.00165877,0.00280907
40300,0.00260355,0.00271798
40400,0.00150539,0.00275838
40500,0.000412656,0.00250449
40600,0.00186058,0.00231703
40700,0.00203687,0.00245567
40800,0.00322143,0.0023017
40900,0.00339353,0.00211611
41000,0.00381584,0.00212511
41100,0.00273343,0.00229507
41200,0.00190612,0.00195024
41300,0.00207973,0.00189549
41400,0.00225251,0.00190493
41500,0.00242445,0.00194622
41600,0.00185327,0.00195549
41700,0.00227219,0.00183778
41800,0.0026891,0.00181561
41900,0.00163005,0.00173037
42000,0.00278173,0.00148799
42100,0.00221648,0.0013725
42200,0.00165392,0.00125756
42300,0.00158068,0.00114317
42400,0.00199333,0.0012478
42500,0.000708671,0.00141422
42600,0.000154923,0.00148666
42700,0.000568006,0.00168273
42800,0.00146015,0.00153776
42900,0.00114846,0.0017945
43000,0.00155635,0.00189616
43100,0.00100706,0.00193593
43200,0.000222041,0.00191425
43300,0.000629245,0.00189267
43400,0.00056023,0.0018407
43500,0.000728158,0.00163685
43600,0.000895316,0.00161606
43700,0.00271051,0.00156507
43800,0.00169735,0.00172583
43900,0.00092328,0.001916
44000,0.00108847,0.00192484
44100,0.00195314,0.00184361
44200,0.00234814,0.00200228
44300,0.00134723,0.00207061
44400,0.000350835,0.00184056
44500,0.000409774,0.00199817
44600,0.000243813,0.00200671
44700,0.000539142,0.00228167
44800,0.000143873,0.00217137
44900,0.00020886,0.00217946
45000,0.000641395,0.00189342
45100,0.000803185,0.00193144
45200,0.000736534,0.00196929
45300,1.15E-05,0.00203618
45400,0.000830835,0.00201534
45500,0.000538337,0.00211092
45600,0.000472851,0.00214805
45700,0.00108336,0.00215605
45800,0.000792222,0.00187506
45900,0.00117512,0.00194128
46000,0.00110882,0.00180583
46100,0.00126608,0.00181451
46200,0.00119987,0.00159398
46300,0.00113395,0.00160307
46400,0.000846471,0.00155509
46500,0.00100295,0.00147884
46600,0.00115876,0.00160173
46700,0.0013139,0.00146903
46800,0.00124843,0.00145002
46900,0.000524831,0.00148752
47000,0.000195691,0.00141223
47100,0.00113169,0.00139346
47200,0.00206373,0.00134673
47300,0.00146851,0.00132818
47400,0.00131012,0.00133762
47500,0.0013691,0.00145847
47600,0.000995335,0.00135639
47700,0.00105472,0.00139346
47800,0.000393515,0.00140269
47900,9.83E-05,0.00141188
48000,0.000373632,0.00153132
48100,0.00127815,0.00156772
48200,0.00142822,0.00160396
48300,0.0024301,0.00155786
48400,0.00172648,0.00153929
48500,0.00102577,0.00162995
48600,0.00159871,0.00158408
48700,0.000478413,0.00159274
48800,0.00210476,0.00165561
48900,0.00267198,0.00131227
49000,0.00155635,0.00145648
49100,0.00212237,0.00151924
49200,0.00164003,0.00128586
49300,0.00262117,0.00124134
49400,0.00359833,0.00114342
49500,0.0024921,0.00115284
49600,0.00180538,0.00108217
49700,0.00153564,0.000958531
49800,0.00188706,0.00110114
49900,0.00223706,0.00108404
50000,0.00135048,0.00119936
50100,0.00128926,0.0012878
50200,1.99E-06,0.00127043
